Actual_VWAP,Predicted_VWAP,Error
533.0904243273649,532.99896,0.09146192502112171
533.0680196843125,532.9724,0.09560757493750316
533.0475448047097,532.947,0.10052332033467337
533.0274692875256,532.9224,0.10504497111935507
532.9998410962246,532.89954,0.10030496341209982
532.9775542219843,532.8774,0.10017385089054187
532.9593600594769,532.8569,0.10248750088317138
532.9396213218768,532.8368,0.10282932968925707
532.9202198071346,532.8168,0.10344734619707197
532.9027592121497,532.7969,0.10588421214970367
532.8866927193054,532.77704,0.10965414508666527
532.8688145147692,532.75714,0.11167340148790572
532.8533805463335,532.7378,0.11558757758348293
532.8360720477825,532.7189,0.11719997747002253
532.8257579896384,532.7005,0.12525750135716862
532.8197660096611,532.6834,0.13635536512981616
532.8078263486464,532.6674,0.14040691505260838
532.7988589761901,532.6523,0.14657626134635393
532.7927128580973,532.6382,0.15452926434727488
532.7844499835383,532.6253,0.15914480775700213
532.7590138548545,532.6135,0.14548846422951556
532.7492167283839,532.6022,0.1470438768213853
532.7320895250527,532.5913,0.14078093130274283
532.6991338176203,532.5805,0.11862844652659987
532.6747101518257,532.5692,0.10549628463820682
532.6555442400975,532.5564,0.09914775572246981
532.636974576896,532.54175,0.09522653002102288
532.6204565183274,532.5259,0.09457761207738713
532.6071697231868,532.50867,0.09850273099925744
532.5880937509868,532.4903,0.09779834083053629
532.5570737837073,532.47107,0.08600444776982386
532.5414014001535,532.4523,0.0891308923410179
532.5245879465615,532.43256,0.09203179421774621
532.5061063599519,532.4128,0.09332559823315023
532.4914877412383,532.3944,0.09707856155080208
532.475625411591,532.37665,0.09897746237220417
532.4660092440313,532.35913,0.10687838465628374
532.45260390678,532.34204,0.11056289115504114
532.442994524827,532.3253,0.11767714201448598
532.4364108072791,532.30896,0.12745084634161685
532.4283799355591,532.2937,0.1346787636840645
532.4235706260623,532.2807,0.14286994246856466
532.4176802070668,532.26874,0.14894241409808728
532.4117280456559,532.2579,0.1538545104996274
532.4054835602295,532.2485,0.15700943913577703
532.3993312703502,532.24,0.15934103597521698
532.3959472367972,532.23254,0.1634032914846557
532.3862667766975,532.2257,0.16055876888503917
532.3795215182889,532.21954,0.1599780612576751
532.3730542225123,532.2136,0.15943117563733722
532.3667195334341,532.2077,0.15901689671534314
532.35761459815,532.2019,0.15571030127500762
532.3496164404002,532.1958,0.15381565915015472
532.3447271505831,532.1895,0.15521299042688952
532.3392133660877,532.1831,0.15610789733773345
532.3320637142198,532.17664,0.1554279720322711
532.3266796507165,532.17017,0.15651363509152816
532.3197275338624,532.1634,0.15633642058116948
532.3099868127382,532.157,0.1530043908632024
532.304131354866,532.1506,0.15355762439719456
532.299973156482,532.1441,0.15586915257574674
532.296907700512,532.13763,0.1592734231682016
532.2955752677154,532.1316,0.16398347084043507
532.2928926038516,532.1259,0.16697707650780558
532.2901472110078,532.1205,0.16966381257032026
532.2869894827073,532.1154,0.17157200223857672
532.2823205094023,532.1109,0.17141963049607511
532.2783155217757,532.1067,0.171626068650653
532.2731020129754,532.10284,0.17025777469416425
532.2691350141369,532.0996,0.16952563913685026
532.2687453723237,532.0964,0.17237086060492857
532.2708100874715,532.0933,0.17748733356529556
532.2682441222967,532.09033,0.1779120910466645
532.2652560239407,532.0874,0.17785368019065118
532.2633329409564,532.0846,0.17873821439388848
532.2579542573252,532.082,0.1759840424814456
532.2571986782184,532.07947,0.17773090478090126
532.2581270006782,532.07715,0.1809785631782006
532.255966923999,532.0751,0.18089368181153986
532.2546523879738,532.07336,0.18128813016130607
532.2533307759082,532.0719,0.18143136184573905
532.2532425723691,532.07025,0.18299110752536762
532.2543307912428,532.0685,0.18584934593025082
532.2509554322528,532.06696,0.1839998658465447
532.2459917856894,532.0656,0.18037899272064806
532.2430752719666,532.0643,0.1788052524353816
532.2412832389006,532.0632,0.17811185218181436
532.237015700373,532.0618,0.17518708709178554
532.2287627981251,532.06006,0.16870420437510347
532.2248373303722,532.0579,0.16691496709097464
532.2248611652471,532.05536,0.16950227852839816
532.2232464837227,532.05255,0.1706952141914826
532.2193184795375,532.0495,0.16981896781874184
532.2178036538777,532.04596,0.17184418122144507
532.2108631709815,532.04266,0.1681995967627472
532.2051941572911,532.0394,0.16576544635358914
532.200568749485,532.0361,0.1644969721412508
532.1959452250246,532.0325,0.16347452189961587
532.194329759527,532.02875,0.16558220093327236
532.1940943770614,532.0254,0.16870375206144672
532.190796809517,532.02216,0.1686410477982463
532.1855490206278,532.0187,0.16687226281533185
532.1804723287386,532.015,0.1654576803010741
532.1777102423737,532.0114,0.16629666815492783
532.1737805340208,532.0076,0.16615113948955695
532.1686772282608,532.0042,0.16446580247952625
532.1573487754222,532.0009,0.15643324807842873
532.144514375555,531.9974,0.1471388872737407
532.1221199476626,531.99335,0.1287727796938043
532.09259782925,531.988,0.10462175503130311
532.0623612318037,531.9805,0.08183144664747033
532.0287161882576,531.97076,0.05795202810134015
532.0010611364638,531.95825,0.042809183338818
531.9695881457516,531.94293,0.026656016845322483
531.9254024294579,531.9244,0.0010249880516539633
531.8965614141171,531.90234,-0.00578233588294097
531.8576819550043,531.87714,-0.01945427546445444
531.8217362859059,531.84924,-0.027506878156600578
531.7739098177806,531.81903,-0.045120943938172786
531.7405886395102,531.7869,-0.04633763002107116
531.6920514543881,531.75385,-0.06179376045565732
531.6634703744146,531.7195,-0.05601204746039912
531.6417138640303,531.6845,-0.042795413313456265
531.6160229411013,531.64905,-0.033024910461222134
531.5930871819154,531.61383,-0.020743384490856442
531.5685172017807,531.58044,-0.011927134156849206
